,BrandName,ProductName,ProductPrice,ProductRating,ProductNoOfratings
36,Titan,Titan Maritime Quartz Chronograph With Date White Dial Green Leather Strap Watch for Men - NT1830KL01,"13,276",4.4 out of 5 stars,(361)
37,Titan,Neo Analog Blue Dial Men's Watch NM1734KM02/NN1734KM02/NP1734KM02,"7,468",4.3 out of 5 stars,(563)
38,Samsung,"Samsung Galaxy Watch Ultra (47mm, LTE, Silver) with Upto 100h battery | 3nm Processor | Dual GPS | Quick Button/Siren | Sapphire Glass & Titanium | 10ATM & IP68 | BP & ECG Monitor |Energy Score & AGEs","34,800",4.3 out of 5 stars,(122)
39,Sonata,Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W,849,4.2 out of 5 stars,(2.1K)
40,Titan,Titan Neo Curve Quartz Analog with Date Blue Dial Brown Leather Strap Watch for Men - NT1885SL03,"5,165",4.4 out of 5 stars,(355)
41,boAt,"boAt Chrome Horizon, Video Watch Faces, 1.51” AMOLED Display, HRV & VO2 Max, Auto-Activity Detection, ASAP Charge, Advanced Bluetooth Calling, IP68, Heart Rate & SpO2 Monitor Smart Watch(Steel Black)","3,599",4.0 out of 5 stars,(334)
42,Titan,Analog Gold Dial Men's Watch NM1648YM02/NN1648YM02/NP1648YM02,"1,995",4.2 out of 5 stars,(773)
43,Fastrack,"Fastrack Limitless FS2 Pro 1.96"" AMOLED Smart Watch with BT Calling, AI Voice Assistant, 100+ Sports Modes, 5-Day Battery, Fast Charge, Health Tracking, – Smartwatch for Men & Women (Beige)","2,995",4.0 out of 5 stars,(4.3K)
44,Casio,G-Shock GMA-P2100BB-1ADR Analog-Digital Black Dial Women (G1615),"8,495",3.5 out of 5 stars,(8)
45,OnePlus,"OnePlus Watch 2 with Wear OS4,Snapdragon W5 Chipset,Upto 100 hrs Battery Life,1.43’’ AMOLED Display,Stainless Steel & Sapphire Crystal Build,Dual Frequency GPS,IP68 & Bluetooth Calling (Black Steel)","12,999",4.3 out of 5 stars,(521)
46,Casio,MTP-VT01L-1B Men's Minimalistic Black Dial Black Leather Band Analog Watch,"3,295",4.3 out of 5 stars,(1.3K)
47,Titan,Titan Neo Splash Sartorial Quartz Multifunction Blue Dial Blue Stainless Steel Strap Watch for Men - NT1805QM02,"7,468",4.4 out of 5 stars,(190)
48,Fossil,"Fossil Men Silicone Machine Chronograph Black Dial Watch-Fs4487, Band Color-Black","13,495",4.2 out of 5 stars,(406)
49,Daniel Hechter,Paris Bercy Collection Modern Multi Functional Watch for Men with Square Dial and Silicon Band-DHM1001,"2,780",4.3 out of 5 stars,(509)
50,Fire-Boltt,"Fire-Boltt Talk Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker (Talk, Black)",999,4.0 out of 5 stars,(58.3K)
51,Fire-Boltt,"Fire-Boltt Newly Launched Phoenix Ultra Blaze Luxury Stainless Steel, Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Silver)","1,099",3.8 out of 5 stars,(5K)
52,Samsung,"Samsung Galaxy Watch Ultra (47mm, LTE, Silver) with Upto 100h battery | 3nm Processor | Dual GPS | Quick Button/Siren | Sapphire Glass & Titanium | 10ATM & IP68 | BP & ECG Monitor |Energy Score & AGEs","34,800",4.3 out of 5 stars,(122)
53,Sonata,Sonata Poze 6 Terra Trails Quartz Blue Round Dial Men's Watch | Stainless Steel Strap Material | Watches for Men Analog - SP70073KM01,830.,2.5 out of 5 stars,(2)
54,Titan,Titan Neo Curve Quartz Analog with Date Blue Dial Brown Leather Strap Watch for Men - NT1885SL03,"5,165",4.4 out of 5 stars,(355)
55,OnePlus,"OnePlus Watch 2R with Wear OS 4 by Google,Snapdragon W5 Chipset,Upto 100hrs Battery Life,1.43’’ AMOLED Display,100+ Sports Mode,Dual Frequency GPS,5 ATM,IP68 & BT Calling [Gunmetal Gray]","12,999",4.3 out of 5 stars,(492)
56,Titan,Karishma Analog Black Dial Men's Watch NK1578SM04 / NK1578SM04,"2,595",4.1 out of 5 stars,(1.2K)
57,Casio,G-Shock GMA-P2100BB-1ADR Analog-Digital Black Dial Women (G1615),"8,495",3.5 out of 5 stars,(8)
58,Titan,Analog White Dial Men's Watch NM1639SL03/NN1639SL03,"1,995",4.0 out of 5 stars,(1.1K)
